instant,season,year,month,hour,holiday,weekday,working_day,weather_sit,temp, feeling_temp,hum,wind_speed,casual,registered,datetime,cnt
1,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,2011-01-01 00:00:00,16
2,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,2011-01-01 01:00:00,40
3,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,2011-01-01 02:00:00,32
4,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,2011-01-01 03:00:00,13
5,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,2011-01-01 04:00:00,1
6,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,2011-01-01 05:00:00,1
7,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2011-01-01 06:00:00,2
8,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,2011-01-01 07:00:00,3
9,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,2011-01-01 08:00:00,8
10,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,2011-01-01 09:00:00,14
11,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,2011-01-01 10:00:00,36
12,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,2011-01-01 11:00:00,56
13,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,2011-01-01 12:00:00,84
14,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,2011-01-01 13:00:00,94
15,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,2011-01-01 14:00:00,106
16,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,2011-01-01 15:00:00,110
17,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,2011-01-01 16:00:00,93
18,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,2011-01-01 17:00:00,67
19,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,2011-01-01 18:00:00,35
20,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,2011-01-01 19:00:00,37
21,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,2011-01-01 20:00:00,36
22,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,2011-01-01 21:00:00,34
23,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,2011-01-01 22:00:00,28
24,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,2011-01-01 23:00:00,39
25,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,2011-01-02 00:00:00,17
26,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,2011-01-02 01:00:00,17
27,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,2011-01-02 02:00:00,9
