instant,season,year,month,hour,holiday,working_day,weather_sit,feeling_temp,hum,wind_speed,datetime,cnt,rolling_mean_6,rolling_median_6,rolling_std_6,rolling_min_6,rolling_max_6,rolling_mean_24,rolling_median_24,rolling_std_24,rolling_min_24,rolling_max_24,rolling_mean_168,rolling_median_168,rolling_std_168,rolling_min_168,rolling_max_168,lag_1,lag_2,lag_8,lag_24,lag_72,lag_168
169,1,0,1,7,0,0,2,0.1818,0.74,0.1045,2011-01-08 07:00:00,9,7.833333333333333,6.0,6.675827039900152,1.0,16.0,63.208333333333336,55.0,55.84448839463011,1.0,210.0,56.458333333333336,49.0,51.220768402753045,1.0,219.0,2.0,5.0,15.0,84.0,3.0,16.0
170,1,0,1,8,0,0,3,0.1818,0.93,0.1045,2011-01-08 08:00:00,15,6.666666666666667,6.0,5.4650404085113635,1.0,16.0,60.083333333333336,50.5,56.72198919264927,1.0,210.0,56.416666666666664,49.0,51.25671174589721,1.0,219.0,9.0,2.0,25.0,210.0,33.0,40.0
171,1,0,1,9,0,0,3,0.1818,0.93,0.1045,2011-01-08 09:00:00,20,6.5,6.0,5.128352561982784,1.0,15.0,51.958333333333336,44.5,47.53623713105315,1.0,187.0,56.267857142857146,49.0,51.34087948952486,1.0,219.0,15.0,9.0,16.0,134.0,88.0,32.0
172,1,0,1,10,0,0,2,0.197,0.8,0.1642,2011-01-08 10:00:00,61,8.666666666666666,7.0,7.554248252914516,1.0,20.0,47.208333333333336,37.5,44.58599815955749,1.0,187.0,56.19642857142857,49.0,51.38317473503517,1.0,219.0,20.0,15.0,16.0,63.0,195.0,13.0
173,1,0,1,11,0,0,2,0.1818,0.69,0.3881,2011-01-08 11:00:00,62,18.666666666666668,12.0,21.75009578522959,2.0,61.0,47.125,37.5,44.55705916843185,1.0,187.0,56.482142857142854,50.5,51.274881293554394,1.0,219.0,61.0,20.0,7.0,67.0,115.0,1.0
174,1,0,1,12,0,0,2,0.1818,0.59,0.3582,2011-01-08 12:00:00,98,28.166666666666668,17.5,26.513518564435422,2.0,62.0,46.916666666666664,37.5,44.4716975621347,1.0,187.0,56.845238095238095,51.0,51.095306989489345,1.0,219.0,62.0,61.0,1.0,59.0,57.0,1.0
175,1,0,1,13,0,0,1,0.1818,0.44,0.3284,2011-01-08 13:00:00,102,44.166666666666664,40.5,35.1307083143318,9.0,98.0,48.541666666666664,37.5,45.62987119122234,1.0,187.0,57.42261904761905,51.5,51.0084526309719,1.0,219.0,98.0,62.0,5.0,73.0,46.0,2.0
176,1,0,1,14,0,0,1,0.1667,0.32,0.4925,2011-01-08 14:00:00,95,59.666666666666664,61.5,36.979273474024076,15.0,102.0,49.75,37.5,46.67766433559088,1.0,187.0,58.017857142857146,52.0,50.941256906960085,1.0,219.0,102.0,98.0,2.0,50.0,79.0,3.0
177,1,0,1,15,0,0,1,0.1667,0.32,0.4478,2011-01-08 15:00:00,74,73.0,78.5,31.698580409854223,20.0,102.0,51.625,37.5,47.58316518156036,1.0,187.0,58.56547619047619,52.0,50.840673975772674,1.0,219.0,95.0,102.0,9.0,72.0,71.0,8.0
178,1,0,1,16,0,0,1,0.1364,0.29,0.4478,2011-01-08 16:00:00,76,82.0,84.5,18.601075237738115,61.0,102.0,51.708333333333336,37.5,47.62213512247424,1.0,187.0,58.958333333333336,52.5,50.702413950808335,1.0,219.0,74.0,95.0,15.0,87.0,62.0,14.0
179,1,0,1,17,0,0,1,0.1212,0.37,0.5522,2011-01-08 17:00:00,69,84.5,85.5,16.046806535881025,62.0,102.0,51.25,37.5,47.31968061930521,1.0,187.0,59.32738095238095,53.0,50.59874995779178,1.0,219.0,76.0,74.0,20.0,187.0,62.0,36.0
180,1,0,1,18,0,0,1,0.1212,0.39,0.2985,2011-01-08 18:00:00,55,85.66666666666667,85.5,14.23610433604154,69.0,102.0,46.333333333333336,37.5,37.767787823771926,1.0,123.0,59.523809523809526,53.5,50.57169599390583,1.0,219.0,69.0,76.0,61.0,123.0,89.0,56.0
181,1,0,1,19,0,0,1,0.1212,0.36,0.2537,2011-01-08 19:00:00,30,78.5,75.0,17.282939564784517,55.0,102.0,43.5,37.5,34.1429221132988,1.0,102.0,59.517857142857146,53.5,50.57217208497817,1.0,219.0,55.0,69.0,62.0,95.0,190.0,84.0
182,1,0,1,20,0,0,1,0.1212,0.36,0.2537,2011-01-08 20:00:00,28,66.5,71.5,22.043139522309293,30.0,95.0,40.791666666666664,33.0,32.41440791653791,1.0,102.0,59.19642857142857,53.0,50.587241170125594,1.0,219.0,30.0,55.0,98.0,51.0,169.0,94.0
183,1,0,1,21,0,0,1,0.1061,0.39,0.3582,2011-01-08 21:00:00,37,55.333333333333336,62.0,21.685632724609643,28.0,76.0,39.833333333333336,29.0,32.439464246188095,1.0,102.0,58.80357142857143,52.5,50.57161388448164,1.0,219.0,28.0,30.0,102.0,39.0,132.0,106.0
184,1,0,1,22,0,0,1,0.1061,0.36,0.3881,2011-01-08 22:00:00,34,49.166666666666664,46.0,20.5466947869155,28.0,76.0,39.75,29.0,32.44426659338464,1.0,102.0,58.392857142857146,52.0,50.466095301909256,1.0,219.0,37.0,28.0,95.0,36.0,89.0,110.0
185,1,0,1,23,0,0,1,0.0606,0.39,0.4478,2011-01-08 23:00:00,22,42.166666666666664,35.5,16.29007878024721,28.0,69.0,39.666666666666664,29.0,32.456883327921744,1.0,102.0,57.94047619047619,52.0,50.34119542341158,1.0,219.0,34.0,37.0,74.0,15.0,43.0,93.0
